milage,transmission,brand_cat,age,fuel_cat,ext_col_cat,int_col_cat,hp,accident,price
51000.0,2,1,11,0,1,1,300.0,1,10300.0
34742.0,2,1,3,0,3,3,351.12,1,38005.0
22372.0,2,2,2,0,2,1,323.40000000000003,0,54598.0
88900.0,2,2,9,1,1,1,354.0,0,15500.0
9835.0,2,2,3,0,1,1,184.8,0,34999.0
136397.0,3,2,8,0,2,3,221.76000000000002,0,14798.0
84000.0,2,2,7,0,2,1,292.0,0,31000.0
242000.0,2,2,23,0,2,2,282.0,0,7300.0
23436.0,2,2,3,0,1,1,311.0,0,41927.0
34000.0,2,2,4,1,1,1,534.0,0,69950.0
27608.0,2,2,3,0,1,3,349.79901123595505,0,73897.0
22770.0,2,3,5,0,2,1,715.0,0,184606.0
12500.0,2,1,3,0,2,1,382.0,0,53500.0
18196.0,3,1,2,0,1,2,400.0,0,62000.0
15903.0,2,2,4,0,2,1,184.8,0,47998.0
79800.0,2,2,11,0,1,1,375.0,0,29990.0
1685.0,2,2,3,0,3,1,184.8,0,250000.0
61074.0,2,1,11,0,1,3,305.0,0,16800.0
74000.0,1,1,21,0,2,3,287.0,0,11000.0
35250.0,2,2,6,0,2,1,550.0,0,68750.0
5400.0,2,2,1,0,2,1,375.0,0,60000.0
133510.0,2,1,24,0,2,1,120.0,0,4500.0
25990.0,2,2,4,0,1,1,277.20000000000005,0,38598.0
2823.0,2,1,1,0,2,1,323.40000000000003,0,58504.0
52000.0,2,1,3,0,2,1,355.0,0,61000.0
11650.0,3,1,2,0,1,1,276.0,0,32300.0
96541.0,2,1,8,0,2,1,166.32000000000002,0,13998.0
17500.0,2,2,3,0,3,1,382.0,0,59995.0
69000.0,2,2,9,0,3,1,445.0,0,25700.0
81880.0,2,2,7,0,1,1,184.8,0,21375.0
28800.0,2,2,6,0,2,1,362.0,0,48000.0
300183.0,2,1,18,0,2,3,345.0,1,10900.0
35035.0,2,2,4,1,1,1,349.79901123595505,0,24998.0
171000.0,2,1,13,0,1,1,276.0,0,5999.0
118700.0,2,2,8,0,1,1,383.0,0,46900.0
119000.0,2,1,7,0,2,1,180.0,0,15900.0
44261.0,2,2,6,0,3,1,277.20000000000005,0,33598.0
125575.0,2,2,12,0,2,1,211.0,0,8999.0
16200.0,2,1,17,0,3,1,173.0,0,8200.0
70000.0,2,2,10,0,1,1,240.0,1,20000.0
20200.0,2,3,13,0,1,1,552.0,0,79950.0
2978.0,2,1,1,0,2,3,323.40000000000003,0,45498.0
189719.0,2,1,17,0,1,3,277.20000000000005,1,14000.0
9949.0,2,2,5,0,2,1,406.56000000000006,0,75798.0
3552.0,2,2,2,1,2,1,536.0,0,119999.0
54000.0,2,2,12,0,1,2,310.0,1,36880.0
51351.0,2,1,3,0,1,1,489.72,0,43147.0
24280.0,2,1,7,0,1,1,228.0,1,29000.0
89148.0,2,1,8,0,1,1,268.0,0,17500.0
73043.0,2,2,7,0,1,1,300.0,0,30990.0
60000.0,3,2,7,0,3,1,503.0,1,52500.0
73549.0,2,1,8,0,3,1,221.76000000000002,1,20848.0
110900.0,2,1,19,0,3,1,325.0,0,19500.0
39000.0,2,2,11,0,2,1,400.0,0,73000.0
120000.0,3,2,8,0,1,1,208.0,0,19800.0
134602.0,3,1,15,0,2,1,250.0,0,7500.0
1094.0,2,1,1,0,2,3,138.60000000000002,0,30999.0
83500.0,3,2,14,0,2,1,200.0,0,6500.0
37060.0,1,1,10,0,1,1,420.0,0,28500.0
97700.0,3,2,14,0,2,1,300.0,0,10995.0
40000.0,3,2,6,1,1,1,400.0,0,42000.0
8940.0,3,2,6,0,2,1,480.48,0,144900.0
186000.0,2,2,10,0,1,1,302.0,1,10000.0
